time,base,trend,uncert_center_ana,uncert_lower_ana,uncert_upper_ana,central_det,bull,bear
2025-03-11,119.58973619033385,108.50642841980454,119.58973620033387,117.97039233659423,121.2313083070851,116.81890924820152,119.58973619033385,108.50642841980454
2025-03-12,119.34325400407639,108.58731058766975,119.34325401407636,117.06430214470102,121.66657142894918,116.65426815047473,119.34325400407639,108.58731058766975
2025-03-13,118.71095306798958,108.66819275553499,118.71095307798956,115.94059361450438,121.54750930067402,116.20026299037593,118.71095306798958,108.66819275553499
2025-03-14,118.30056386154986,108.7490749234002,118.30056387154981,115.11847994097262,121.57060638311617,115.91269162751243,118.30056386154986,108.7490749234002
2025-03-17,117.99318215029528,108.82995709126541,117.99318216029526,114.45042622906189,121.64560233658062,115.7023758860378,117.99318215029528,108.82995709126541
2025-03-18,117.53485432182568,108.91083925913065,117.53485433182563,113.67462454992975,121.52617206785406,115.37885055665191,117.53485432182568,108.91083925913065
2025-03-19,116.929176735702,108.99172142699587,116.92917674570197,112.78665198724482,121.2238517016521,114.94481290902546,116.929176735702,108.99172142699587
2025-03-20,116.55600466183301,109.07260359486108,116.55600467183305,112.14705228749531,121.1382907348619,114.68515439559005,116.55600466183301,109.07260359486108
2025-03-21,115.9420872208416,109.15348576272632,115.94208723084162,111.29571965754138,120.78243110163692,114.24493685681277,115.9420872208416,109.15348576272632
2025-03-24,115.03358004665394,109.23436793059153,115.03358005665397,110.1795911399093,120.1014126458984,113.58377701813833,115.03358004665394,109.23436793059153
2025-03-25,114.15887227872103,109.31525009845674,114.15887228872107,109.11195038590081,119.4392371884182,112.94796673415496,114.15887227872103,109.31525009845674
2025-03-26,113.63031601956729,109.39613226632198,113.63031602956731,108.38861584964381,119.12550612225363,112.57177008175596,113.63031601956729,109.39613226632198
2025-03-27,112.92573413284748,109.4770144341872,112.92573414284745,107.50901214269791,118.61537165623747,112.0635542086824,112.92573413284748,109.4770144341872
2025-03-28,112.43546808175782,109.55789660205241,112.4354680917578,106.84382133953983,118.31975238735066,111.71607521233145,112.43546808175782,109.55789660205241
2025-03-31,111.9365111186827,109.63877876991765,111.93651112868274,106.17940343275794,118.0057724810694,111.36207803199144,111.9365111186827,109.63877876991765
2025-04-01,111.35302343754194,109.71966093778286,111.35302344754193,105.44317559555093,117.59410470023826,110.94468281310216,111.35302343754194,109.71966093778286
2025-04-02,110.77741740316063,109.80054310564807,110.77741741316062,104.72221161155477,117.1827449008497,110.53319882928247,110.77741740316063,109.80054310564807
2025-04-03,110.16107181457151,109.88142527351332,110.16107182457155,103.96998202313084,116.7208218121896,110.09116017980695,110.16107181457151,109.88142527351332
2025-04-04,109.44692201290007,109.96230744137853,109.44692202290011,103.13237446628641,116.14809415837261,109.57576837051968,109.96230744137853,109.44692201290007
2025-04-07,108.85885764382017,110.04318960924374,108.85885765382012,102.42000054236159,115.70250758584336,109.15494063567604,110.04318960924374,108.85885764382017
2025-04-08,108.24772307064373,110.12407177710898,108.2477230806437,101.69178493813372,115.22631409481448,108.71681024776004,110.12407177710898,108.24772307064373
2025-04-09,107.62167029596279,110.20495394497419,107.62167030596281,100.95511314523922,114.72845266175162,108.26749120871564,110.20495394497419,107.62167029596279
2025-04-10,106.96173291791932,110.2858361128394,106.96173292791934,100.19195888851979,114.18892731375132,107.79275871714934,110.2858361128394,106.96173291791932
2025-04-11,106.36088195653807,110.36671828070465,106.3608819665381,99.48913158883069,113.70726663343278,107.3623410380797,110.36671828070465,106.36088195653807
2025-04-14,105.78049630996792,110.44760044856986,105.78049631996791,98.81006380830854,113.24264928526301,106.94727234511839,110.44760044856986,105.78049630996792
2025-04-15,105.21321676226025,110.52848261643507,105.21321677226024,98.14757985731228,112.7875083589429,106.54203322630394,110.52848261643507,105.21321676226025
